understat_id,understat_name,short_title,fpl_id,fpl_name
89,Manchester United,MUN,14,Manchester Utd
75,Leicester,LEI,11,Leicester City
86,Newcastle United,NEW,15,Newcastle Utd
82,Tottenham,TOT,17,Tottenham
90,Watford,WAT,18,Watford
220,Brighton,BRI,3,Brighton
219,Huddersfield,HUD,10,Huddersfield
80,Chelsea,CHE,6,Chelsea
228,Fulham,FLH,9,Fulham
78,Crystal Palace,CRY,7,Crystal Palace
73,Bournemouth,BOU,2,Bournemouth
227,Cardiff,CAR,5,Cardiff City
229,Wolverhampton Wanderers,WOL,20,Wolves
72,Everton,EVE,8,Everton
74,Southampton,SOU,16,Southampton
92,Burnley,BUR,4,Burnley
87,Liverpool,LIV,12,Liverpool
81,West Ham,WHU,19,West Ham
83,Arsenal,ARS,1,Arsenal
88,Manchester City,MCI,13,Manchester City
