understat_id,understat_name,short_title,fpl_id,fpl_name
87,Liverpool,LIV,10,Liverpool
79,Norwich,NOR,14,Norwich City
81,West Ham,WHU,19,West Ham
88,Manchester City,MCI,11,Manchester City
73,Bournemouth,BOU,3,Bournemouth
238,Sheffield United,SHE,15,Sheffield Utd
92,Burnley,BUR,5,Burnley
74,Southampton,SOU,16,Southampton
78,Crystal Palace,CRY,7,Crystal Palace
72,Everton,EVE,8,Everton
90,Watford,WAT,18,Watford
220,Brighton,BRI,4,Brighton
82,Tottenham,TOT,17,Tottenham
71,Aston Villa,AVL,2,Aston Villa
86,Newcastle United,NEW,13,Newcastle Utd
83,Arsenal,ARS,1,Arsenal
75,Leicester,LEI,9,Leicester City
229,Wolverhampton Wanderers,WOL,20,Wolves
89,Manchester United,MUN,12,Manchester Utd
80,Chelsea,CHE,6,Chelsea
