understat_id,understat_name,short_title,fpl_id,fpl_name
91,Hull,HUL,7,Hull City
75,Leicester,LEI,8,Leicester City
78,Crystal Palace,CRY,5,Crystal Palace
76,West Bromwich Albion,WBA,19,West Brom
72,Everton,EVE,6,Everton
82,Tottenham,TOT,17,Tottenham
92,Burnley,BUR,3,Burnley
84,Swansea,SWA,16,Swansea City
93,Middlesbrough,MID,12,Middlesbrough
85,Stoke,STO,14,Stoke City
74,Southampton,SOU,13,Southampton
90,Watford,WAT,18,Watford
88,Manchester City,MCI,10,Manchester City
77,Sunderland,SUN,15,Sunderland
73,Bournemouth,BOU,2,Bournemouth
89,Manchester United,MUN,11,Manchester Utd
83,Arsenal,ARS,1,Arsenal
87,Liverpool,LIV,9,Liverpool
80,Chelsea,CHE,4,Chelsea
81,West Ham,WHU,20,West Ham
