fpl_name,fpl_id,understat_name,understat_id
Bernd Leno,1,Bernd Leno,181.0
Rúnar Alex Rúnarsson,2,,
Willian Borges Da Silva,3,,
Pierre-Emerick Aubameyang,4,Pierre-Emerick Aubameyang,318.0
Cédric Soares,5,Cédric Soares,847.0
Alexandre Lacazette,6,Alexandre Lacazette,3277.0
Granit Xhaka,7,Granit Xhaka,204.0
Pablo Marí,8,Pablo Marí,8380.0
Héctor Bellerín,9,,
Sead Kolasinac,11,Sead Kolasinac,342.0
Mohamed Naser El Sayed Elneny,12,Mohamed Elneny,496.0
Ainsley Maitland-Niles,13,Ainsley Maitland-Niles,1750.0
Rob Holding,14,Rob Holding,1749.0
Thomas Partey,15,Thomas Partey,2328.0
Kieran Tierney,16,Kieran Tierney,8089.0
Nicolas Pépé,17,Nicolas Pepe,5656.0
Lucas Torreira,18,,
Edward Nketiah,20,Eddie Nketiah,6482.0
Emile Smith Rowe,21,Emile Smith-Rowe,7230.0
Bukayo Saka,22,Bukayo Saka,7322.0
Gabriel Magalhães,23,Gabriel,5613.0
Konstantinos Mavropanos,24,,
Mattéo Guendouzi,25,,
Gabriel Teodoro Martinelli Silva,26,Gabriel Martinelli,7752.0
William Saliba,27,,
Ben White,67,Ben White,7298.0
Nuno Varela Tavares,466,Nuno Tavares,9691.0
Albert Sambi Lokonga,478,Albert Sambi Lokonga,9689.0
Folarin Balogun,530,Folarin Balogun,9690.0
Reiss Nelson,531,Reiss Nelson,6492.0
Karl Hein,532,,
Martin Ødegaard,558,Martin Odegaard,2517.0
Aaron Ramsdale,559,Aaron Ramsdale,5603.0
Arthur Okonkwo,572,,
Takehiro Tomiyasu,590,Takehiro Tomiyasu,7931.0
Charlie Patino,664,,
Omari Hutchinson,692,,
Salah-Eddine Oulad M'hand,693,,
Mika Biereth,694,,
Ryan Alebiosu,695,,
Zach Awe,705,,
Zak Swanson,711,,
Mazeed Ogungbo,719,,
Marcelo Flores,720,,
Miguel Azeez,721,,
Alex Kirk,730,,
Calum Chambers,10,Calum Chambers,508.0
Jed Steer,28,Jed Steer,4475.0
Conor Hourihane,29,,
Emiliano Martínez,30,Emiliano Martinez,4401.0
Björn Engels,31,,
Bertrand Traoré,32,Bertrand Traoré,695.0
Morgan Sanson,34,Morgan Sanson,3696.0
John McGinn,35,John McGinn,7723.0
Kortney Hause,36,Kortney Hause,6859.0
Mahmoud Ahmed Ibrahim Hassan,37,Trézéguet,7722.0
Tyrone Mings,38,Tyrone Mings,1024.0
Ollie Watkins,40,Ollie Watkins,8865.0
Marvelous Nakamba,41,Marvelous Nakamba,8040.0
Emiliano Buendía Stati,43,Emiliano Buendía,2203.0
Matthew Cash,44,Matthew Cash,8864.0
Ezri Konsa Ngoyo,45,Ezri Konsa Ngoyo,7726.0
Frédéric Guilbert,46,,
Wesley Moraes,47,Wesley,7724.0
Mbwana Ally Samatta,48,,
Keinan Davis,49,Keinan Davis,1053.0
Douglas Luiz Soares de Paulo,50,Douglas Luiz,6122.0
Jacob Ramsey,51,Jacob Ramsey,8941.0
Ashley Young,52,Ashley Young,631.0
Lucas Digne,168,Lucas Digne,1823.0
Danny Ings,337,Danny Ings,986.0
Leon Bailey,492,Leon Bailey,5221.0
Aaron Ramsey,496,,
Jaden Philogene-Bidace,497,Jaden Philogene-Bidace,9415.0
Carney Chukwuemeka,526,Carney Chukwuemeka,9356.0
Cameron Archer,568,Cameron Archer,9912.0
Viljami Sinisalo,596,,
Lamare Bogarde,610,,
Tim Iroegbunam,638,Tim Iroegbunam,9554.0
Filip Marschall,650,,
Josh Feeney,670,,
Philippe Coutinho Correia,681,Philippe Coutinho,488.0
Kaine Hayden,684,,
Robin Olsen,691,Robin Olsen,6962.0
