understat_id,understat_name,short_title,fpl_id,fpl_name
78,Crystal Palace,CRY,7,Crystal Palace
83,Arsenal,ARS,1,Arsenal
228,Fulham,FLH,9,Fulham
87,Liverpool,LIV,12,Liverpool
73,Bournemouth,BOU,3,Bournemouth
71,Aston Villa,AVL,2,Aston Villa
245,Leeds,LED,11,Leeds United
229,Wolverhampton Wanderers,WOL,20,Wolves
86,Newcastle United,NEW,15,Newcastle Utd
249,Nottingham Forest,NOT,16,Nott'ham Forest
82,Tottenham,TOT,18,Tottenham
74,Southampton,SOU,17,Southampton
72,Everton,EVE,8,Everton
80,Chelsea,CHE,6,Chelsea
89,Manchester United,MUN,14,Manchester Utd
220,Brighton,BRI,5,Brighton
75,Leicester,LEI,10,Leicester City
244,Brentford,BRE,4,Brentford
81,West Ham,WHU,19,West Ham
88,Manchester City,MCI,13,Manchester City
