fpl_name,fpl_id,understat_name,understat_id
Mesut Özil,1,,
Sokratis Papastathopoulos,2,,
David Luiz Moreira Marinho,3,David Luiz,1676.0
Pierre-Emerick Aubameyang,4,Pierre-Emerick Aubameyang,318.0
Cédric Soares,5,Cédric Soares,847.0
Alexandre Lacazette,6,Alexandre Lacazette,3277.0
Shkodran Mustafi,7,Shkodran Mustafi,1699.0
Bernd Leno,8,Bernd Leno,181.0
Granit Xhaka,9,Granit Xhaka,204.0
Pablo Marí,10,Pablo Marí,8380.0
Héctor Bellerín,11,Héctor Bellerín,492.0
Calum Chambers,13,Calum Chambers,508.0
Sead Kolasinac,14,Sead Kolasinac,342.0
Rob Holding,16,Rob Holding,1749.0
Kieran Tierney,17,Kieran Tierney,8089.0
Nicolas Pépé,18,Nicolas Pepe,5656.0
Lucas Torreira,19,,
Reiss Nelson,21,Reiss Nelson,6492.0
Edward Nketiah,22,Eddie Nketiah,6482.0
Emile Smith Rowe,23,Emile Smith-Rowe,7230.0
Bukayo Saka,24,Bukayo Saka,7322.0
Matteo Guendouzi,25,,
Gabriel Teodoro Martinelli Silva,26,Gabriel Martinelli,7752
William Saliba,27,,
Mathew Ryan,70,Mat Ryan,2385.0
Willian Borges Da Silva,478,Willian,700.0
Gabriel Magalhães,494,Gabriel,5613.0
Daniel Ceballos Fernández,501,Dani Ceballos,2446
Mohamed Naser El Sayed Elneny,526,Mohamed Elneny,496
Matt Macey,527,,
Rúnar Alex Rúnarsson,547,Rúnar Alex Rúnarsson,6875.0
Thomas Partey,567,Thomas Partey,2328.0
Martin Ødegaard,645,Martin Odegaard,2517.0
Miguel Azeez,689,,
Emiliano Martínez,12,Emiliano Martinez,4401.0
Tom Heaton,28,,
Ahmed El Mohamady,29,Ahmed Elmohamady,1685.0
Henri Lansbury,30,,
Neil Taylor,31,Neil Taylor,710.0
Jed Steer,32,,
Conor Hourihane,33,Conor Hourihane,7721.0
José Ignacio Peleteiro Romallo,34,,
Ørjan Nyland,35,,
Bjorn Engels,36,,
Jack Grealish,37,Jack Grealish,675.0
John McGinn,38,John McGinn,7723.0
Kortney Hause,39,Kortney Hause,6859.0
Mahmoud Ahmed Ibrahim Hassan,40,Trézéguet,7722
Tyrone Mings,41,Tyrone Mings,1024.0
Matt Targett,42,Matt Targett,884.0
James Bree,43,,
Marvelous Nakamba,44,Marvelous Nakamba,8040.0
Anwar El Ghazi,45,Anwar El Ghazi,5612.0
Ezri Konsa Ngoyo,46,Ezri Konsa Ngoyo,7726.0
Frédéric Guilbert,47,,
Wesley Moraes,48,Wesley,7724.0
Mbwana Samatta,49,,
Keinan Davis,50,Keinan Davis,1053.0
Indiana Vassilev,51,,
Douglas Luiz Soares de Paulo,52,Douglas Luiz,6122.0
Ross Barkley,106,Ross Barkley,592.0
Matthew Cash,496,Matthew Cash,8864.0
Ollie Watkins,514,Ollie Watkins,8865.0
Bertrand Traoré,540,Bertrand Traoré,695.0
Jacob Ramsey,554,Jacob Ramsey,8941.0
Morgan Sanson,647,Morgan Sanson,3696.0
Kaine Hayden,671,,
Carney Chukwuemeka,672,Carney Chukwuemeka,9356.0
Jaden Philogene-Bidace,683,Jaden Philogene-Bidace,9415.0
Glenn Murray,53,,
Adam Lallana,54,Adam Lallana,486.0
Pascal Groß,57,Pascal Groß,239.0
Shane Duffy,58,,
Davy Pröpper,59,Davy Pröpper,6050.0
Aaron Mooy,60,,
Dan Burn,61,Dan Burn,7382.0
Lewis Dunk,62,Lewis Dunk,6048.0
Martín Montoya,63,,
Florin Andone,64,,
Solomon March,65,Solly March,6049.0
Adam Webster,66,Adam Webster,7699.0
Joël Veltman,67,Joël Veltman,8780.0
Neal Maupay,68,Neal Maupay,3621.0
Leandro Trossard,69,Leandro Trossard,7698.0
Alireza Jahanbakhsh,71,Alireza Jahanbakhsh,6842.0
José Izquierdo,72,José Izquierdo,6231.0
Matthew Clarke,73,,
Ben White,74,Ben White,7298.0
Bernardo Fernandes da Silva Junior,75,Bernardo,5245.0
Yves Bissouma,76,Yves Bissouma,5609.0
Tariq Lamptey,77,Tariq Lamptey,8226.0
Aaron Connolly,78,Aaron Connolly,7991.0
Steven Alzate,79,Steven Alzate,8020.0
Alexis Mac Allister,80,Alexis Mac Allister,8379.0
Christian Walton,503,,
Jason Steele,528,,
Jayson Molumby,550,Jayson Molumby,6350.0
Andi Zeqiri,574,Andi Zeqiri,9099.0
Danny Welbeck,588,Danny Welbeck,501.0
Robert Sánchez,597,Robert Sánchez,9098.0
Percy Tau,627,Percy Tau,9249.0
Jakub Moder,628,Jakub Moder,9284.0
Reda Khadra,630,Reda Khadra,9250.0
Teddy Jenks,631,,
Max Sanders,632,,
Jensen Weir,633,,
Thomas McGill,662,,
Michal Karbownik,663,,
Moisés Caicedo,664,,
Dale Stephens,55,Dale Stephens,6051.0
James Tarkowski,81,James Tarkowski,1665.0
Phil Bardsley,82,Phil Bardsley,857.0
Erik Pieters,83,Erik Pieters,887.0
Jack Cork,84,Jack Cork,712.0
Kevin Long,85,Kevin Long,1747.0
Jay Rodriguez,86,Jay Rodriguez,844.0
Ashley Barnes,87,Ashley Barnes,4422.0
Ben Mee,88,Ben Mee,1654.0
Ashley Westwood,89,Ashley Westwood,669.0
Johann Berg Gudmundsson,90,Johann Berg Gudmundsson,1663.0
Chris Wood,91,Chris Wood,4456.0
Matthew Lowton,92,Matthew Lowton,1652.0
Matej Vydra,93,Matej Vydra,1017.0
Ben Gibson,94,,
Robbie Brady,95,Robbie Brady,789.0
Nick Pope,96,Nick Pope,5552.0
Charlie Taylor,97,Charlie Taylor,6044.0
Josh Brownhill,98,Josh Brownhill,8323.0
Bailey Peacock-Farrell,99,Bailey Peacock-Farrell,8482.0
Dwight McNeil,100,Dwight McNeil,6756.0
Jimmy Dunne,519,Jimmy Dunne,8481.0
Bobby Thomas,520,,
Josh Benson,535,Josh Benson,7383.0
Anthony Driscoll-Glennon,536,,
Mace Goodridge,551,,
Will Norris,583,Will Norris,7459.0
