understat_id,understat_name,short_title,fpl_id,fpl_name
228,Fulham,FLH,8,Fulham
83,Arsenal,ARS,1,Arsenal
78,Crystal Palace,CRY,6,Crystal Palace
74,Southampton,SOU,16,Southampton
87,Liverpool,LIV,11,Liverpool
245,Leeds,LED,10,Leeds United
81,West Ham,WHU,19,West Ham
86,Newcastle United,NEW,14,Newcastle Utd
76,West Bromwich Albion,WBA,18,West Brom
75,Leicester,LEI,9,Leicester City
82,Tottenham,TOT,17,Tottenham
72,Everton,EVE,7,Everton
238,Sheffield United,SHE,15,Sheffield Utd
229,Wolverhampton Wanderers,WOL,20,Wolves
220,Brighton,BRI,3,Brighton
80,Chelsea,CHE,5,Chelsea
89,Manchester United,MUN,13,Manchester Utd
92,Burnley,BUR,4,Burnley
71,Aston Villa,AVL,2,Aston Villa
88,Manchester City,MCI,12,Manchester City
