understat_id,understat_name,short_title,fpl_id,fpl_name
83,Arsenal,ARS,1,Arsenal
75,Leicester,LEI,9,Leicester City
90,Watford,WAT,18,Watford
87,Liverpool,LIV,10,Liverpool
76,West Bromwich Albion,WBA,19,West Brom
73,Bournemouth,BOU,2,Bournemouth
74,Southampton,SOU,14,Southampton
84,Swansea,SWA,16,Swansea City
80,Chelsea,CHE,5,Chelsea
92,Burnley,BUR,4,Burnley
78,Crystal Palace,CRY,6,Crystal Palace
219,Huddersfield,HUD,8,Huddersfield
72,Everton,EVE,7,Everton
85,Stoke,STO,15,Stoke City
220,Brighton,BRI,3,Brighton
88,Manchester City,MCI,11,Manchester City
86,Newcastle United,NEW,13,Newcastle Utd
82,Tottenham,TOT,17,Tottenham
89,Manchester United,MUN,12,Manchester Utd
81,West Ham,WHU,20,West Ham
